Layer,Name,GEOID,Longitude,Latitude,TRF_2023
,,,,,"Traffic intensity (distance-weighted vehicles), 2023"
Census tract,Tract 1301,17031130100,-87.72080890,41.99110400,393.51846858186366
Census tract,Tract 1302,17031130200,-87.73757330,41.98183780,122.5949441
Census tract,Tract 1303,17031130300,-87.71339150,41.98655890,118.1993412215542
Census tract,Tract 1401,17031140100,-87.70580500,41.97120140,190.57602808267896
Census tract,Tract 1402,17031140200,-87.71300430,41.97069490,249.0863676050737
Census tract,Tract 1403.01,17031140301,-87.72316950,41.96920550,371.1471147031192
Census tract,Tract 1403.02,17031140302,-87.72375610,41.97249380,224.0283028435764
Census tract,Tract 1404,17031140400,-87.73894290,41.97153710,358.00256494946944
Census tract,Tract 1405,17031140500,-87.73183190,41.96536190,227.9322891676616
Census tract,Tract 1406.01,17031140601,-87.72589090,41.96464710,305.4738573
Census tract,Tract 1406.02,17031140602,-87.72101660,41.96465200,105.23167025949212
Census tract,Tract 1407.01,17031140701,-87.71265240,41.96703750,261.86529142564655
Census tract,Tract 1407.02,17031140702,-87.71357530,41.96354820,73.84159321551398
Census tract,Tract 1408,17031140800,-87.70284690,41.96451440,132.55842709558124
Census tract,Tract 1502,17031150200,-87.75241310,41.96067470,646.5594468894536
Census tract,Tract 1503,17031150300,-87.76228590,41.96051790,147.02069482405616
Census tract,Tract 1504.01,17031150401,-87.77226480,41.96456760,137.29748477330267
Census tract,Tract 1504.02,17031150402,-87.77204360,41.95679790,146.54933702868965
Census tract,Tract 1505.01,17031150501,-87.78196390,41.96447620,125.32351562097568
Census tract,Tract 1505.02,17031150502,-87.78184140,41.95677840,169.94931368398204
Census tract,Tract 1506,17031150600,-87.77175780,41.94947310,200.46127234920647
Census tract,Tract 1507,17031150700,-87.76195800,41.94959150,196.25097034133208
Census tract,Tract 1508,17031150800,-87.75211820,41.94970860,261.74514526429124
Census tract,Tract 1510.01,17031151001,-87.75435270,41.94238260,53.71059828771621
Census tract,Tract 1510.02,17031151002,-87.74715540,41.94249170,342.0783805090889
Census tract,Tract 1511,17031151100,-87.76171750,41.94229030,139.04046054586772
Census tract,Tract 1512,17031151200,-87.77149530,41.94216900,130.01015646752833
Census tract,Tract 1601,17031160100,-87.74279560,41.96462820,1519.060079628478
Census tract,Tract 1602,17031160200,-87.73839810,41.95879310,2536.97178554388
Census tract,Tract 1603,17031160300,-87.73089580,41.95726810,1775.4261258762003
Census tract,Tract 1604,17031160400,-87.72282380,41.95736570,423.874525650923
Census tract,Tract 1605.01,17031160501,-87.71297320,41.95920980,59.32281032140697
Census tract,Tract 1605.02,17031160502,-87.71308760,41.95558410,278.6797446750909
Census tract,Tract 1606.01,17031160601,-87.70329360,41.95939800,62.02767745837278
Census tract,Tract 1606.02,17031160602,-87.70046350,41.95668140,311.3360211807813
Census tract,Tract 1607,17031160700,-87.70213470,41.95121770,215.0938790684669
Census tract,Tract 1608,17031160800,-87.71281460,41.95021310,446.451893059756
Census tract,Tract 1609,17031160900,-87.72260820,41.95008210,3454.031609767635
Census tract,Tract 1610,17031161000,-87.73068290,41.94997660,1940.0828649257503
Census tract,Tract 1611,17031161100,-87.73815500,41.94988000,484.5196635
Census tract,Tract 1612,17031161200,-87.73857010,41.94254890,72.37326800501774
Census tract,Tract 1613,17031161300,-87.73100230,41.94269940,252.99341440030773
Census tract,Tract 1701,17031170100,-87.79481680,41.95585960,161.5259531
Census tract,Tract 1702,17031170200,-87.78151880,41.94935280,105.19640184395593
Census tract,Tract 1703,17031170300,-87.79682780,41.94912480,254.18516166073613
Census tract,Tract 1704,17031170400,-87.81271070,41.94890810,228.6141386967206
Census tract,Tract 1705,17031170500,-87.82889570,41.95007790,242.5487970064447
Census tract,Tract 1706,17031170600,-87.83070160,41.94129430,257.06473134280674
Census tract,Tract 1707,17031170700,-87.82216400,41.94148660,139.9808198551695
Census tract,Tract 1708,17031170800,-87.81237130,41.94157610,219.79251973672544
Census tract,Tract 1709,17031170900,-87.81160570,41.93619580,306.1953899
Census tract,Tract 1710,17031171000,-87.79652380,41.94180720,137.69851948529333
Census tract,Tract 1711,17031171100,-87.78128650,41.94205280,85.94070649620778
Census tract,Tract 1801,17031180100,-87.79863170,41.93448510,131.40002089640925
Census tract,Tract 1901,17031190100,-87.74438890,41.93521760,346.7155528
Census tract,Tract 1902,17031190200,-87.75164890,41.93511360,167.896048786235
Census tract,Tract 1903,17031190300,-87.76146350,41.93498640,128.23548665772043
Census tract,Tract 1904.01,17031190401,-87.78095240,41.93472760,73.89814409982195
Census tract,Tract 1904.02,17031190402,-87.77123180,41.93485960,123.09058686210048
