GEOID,TotalPopulation,WhiteP,BlackP,AsianP,HispP,18to24P,Ovr65P,MHSdP,MedInc,HighRiskJobP,Unemployment,PovP,NoIntP
17031400400,2204.0,2.4500907441016335,91.96914700544464,0.0,1.4065335753176043,10.571687840290382,8.711433756805807,38.2398753894081,28602.0,10.480349344978166,16.517857142857142,34.198113207547166,23.945147679324894
17031400500,2634.0,2.088078967350038,97.91192103264996,0.0,1.442672741078208,6.2262718299164765,8.200455580865604,52.08034433285509,20212.0,8.67237687366167,8.647654093836247,40.95371669004208,8.9126559714795
17031400800,2768.0,0.0,99.13294797687861,0.0,0.0,23.69942196531792,6.719653179190751,46.23149394347241,17546.0,10.721247563352826,17.286821705426355,60.563380281690144,5.390625
17031410100,2251.0,35.40648600621946,41.27054642381164,11.861394935584185,4.264771212794313,15.859617947578855,11.905819635717458,9.191390343222803,41885.0,8.12544547398432,1.2474012474012475,4.641350210970464,5.056179775280899
17031410200,1281.0,45.51131928181108,29.195940671350506,13.27088212334114,14.207650273224044,32.7088212334114,8.58704137392662,6.580645161290323,42600.0,13.57733175914994,2.6077097505668934,19.626168224299064,2.099737532808399
17031410500,3405.0,25.345080763582967,50.48458149779736,15.359765051395007,6.431718061674009,16.152716593245227,7.694566813509545,12.352663837812353,46122.0,13.80020597322348,3.289150711831124,27.320490367775832,2.1686746987951806
17031410600,2249.0,51.31169408626056,18.141396176078256,19.475322365495774,11.249444197421075,34.05958203646065,9.604268563806135,8.486238532110091,32756.0,4.427083333333333,5.507246376811594,0.0,6.573181419807186
17031410700,2541.0,51.67256985438804,21.763085399449036,15.702479338842975,6.690279417552145,32.349468713105075,7.9496261314443135,17.00489853044087,37629.0,4.658385093167702,5.857740585774058,14.516129032258064,0.8771929824561403
17031410800,2890.0,49.44636678200692,19.44636678200692,18.131487889273355,9.100346020761245,20.0,8.754325259515571,11.761736496718829,39115.0,6.08649225840897,2.0397489539748954,2.9411764705882355,3.9170506912442398
17031410900,3527.0,57.641054720725826,23.0791040544372,9.242982704848313,7.853700028352708,13.098950949815707,18.032322086759287,6.36604774535809,47235.0,6.412825651302605,10.734966592427616,4.600811907983762,5.475040257648954
17031411000,3931.0,42.76265581277029,33.90994657847876,12.693970999745611,5.062325108114983,10.175527855507504,26.532688883235817,14.026063100137174,46190.0,12.472647702407002,9.9609375,15.097690941385435,7.065669160432253
17031411100,2388.0,60.80402010050251,4.271356783919598,21.063651591289783,4.606365159128978,24.20435510887772,15.242881072026801,5.543398978847557,64792.0,5.530776092774309,6.72782874617737,1.5779092702169626,3.252032520325203
17031411200,1643.0,65.18563603164942,6.755934266585514,16.67681071211199,6.451612903225806,11.929397443700548,24.345709068776628,1.3477088948787062,68285.0,1.6216216216216217,3.465982028241335,1.5113350125944585,0.0
17031420100,1629.0,2.087170042971148,94.65930018416206,0.3069367710251688,2.578268876611418,13.19828115408226,18.9073050951504,31.793960923623445,18360.0,19.06779661016949,17.09039548022599,41.714285714285715,20.023282887077997
17031420200,1796.0,22.55011135857461,62.69487750556793,7.405345211581292,3.56347438752784,10.412026726057906,10.579064587973274,30.693950177935942,20337.0,5.776173285198556,14.979195561719834,28.88888888888889,9.63855421686747
